Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange
RGEN,REPLIGEN CORP,Health Care,Equity,"48,09,107.34",0.01,"48,09,107.34","36,826.00",130.59,United States,NASDAQ
LKQ,LKQ CORP,Consumer Discretionary,Equity,"48,10,739.20",0.01,"48,10,739.20","1,83,616.00",26.2,United States,NASDAQ
VNO,VORNADO REALTY TRUST REIT,Real Estate,Equity,"47,78,162.58",0.01,"47,78,162.58","1,24,854.00",38.27,United States,NYSE
AOS,A O SMITH CORP,Industrials,Equity,"47,79,572.00",0.01,"47,79,572.00","80,900.00",59.08,United States,NYSE
KNSL,KINSALE CAPITAL GROUP INC,Financials,Equity,"47,71,898.50",0.01,"47,71,898.50","15,325.00",311.38,United States,NYSE
FNB,FNB CORP,Financials,Equity,"47,54,281.12",0.01,"47,54,281.12","2,55,058.00",18.64,United States,NYSE
HR,HEALTHCARE REALTY TRUST INC CLASS,Real Estate,Equity,"47,53,113.30",0.01,"47,53,113.30","2,29,619.00",20.7,United States,NYSE
ETSY,ETSY INC,Consumer Discretionary,Equity,"47,07,686.88",0.01,"47,07,686.88","67,756.00",69.48,United States,NYSE
JHG,JANUS HENDERSON GROUP PLC,Financials,Equity,"46,71,665.28",0.01,"46,71,665.28","90,117.00",51.84,United States,NYSE
LNC,LINCOLN NATIONAL CORP,Financials,Equity,"46,53,622.60",0.01,"46,53,622.60","1,24,762.00",37.3,United States,NYSE
PB,PROSPERITY BANCSHARES INC,Financials,Equity,"46,51,025.34",0.01,"46,51,025.34","64,002.00",72.67,United States,NYSE
AWI,ARMSTRONG WORLD INDUSTRIES INC,Industrials,Equity,"46,38,328.38",0.01,"46,38,328.38","30,078.00",154.21,United States,NYSE
OMF,ONEMAIN HOLDINGS INC,Financials,Equity,"46,22,148.55",0.01,"46,22,148.55","81,505.00",56.71,United States,NYSE
CAG,CONAGRA BRANDS INC,Consumer Staples,Equity,"46,10,539.44",0.01,"46,10,539.44","3,35,556.00",13.74,United States,NYSE
RYN,RAYONIER REIT INC,Real Estate,Equity,"45,93,314.08",0.01,"45,93,314.08","2,09,549.00",21.92,United States,NYSE
XP,XP CLASS A INC,Financials,Equity,"45,83,962.80",0.01,"45,83,962.80","2,86,140.00",16.02,Brazil,NASDAQ
INGR,INGREDION INC,Consumer Staples,Equity,"45,38,838.02",0.01,"45,38,838.02","44,678.00",101.59,United States,NYSE
POOL,POOL CORP,Consumer Discretionary,Equity,"45,14,640.00",0.01,"45,14,640.00","23,152.00",195,United States,NASDAQ
FAF,FIRST AMERICAN FINANCIAL CORP,Financials,Equity,"44,66,638.56",0.01,"44,66,638.56","67,944.00",65.74,United States,NYSE
MTDR,MATADOR RESOURCES,Energy,Equity,"44,54,260.50",0.01,"44,54,260.50","82,410.00",54.05,United States,NYSE
DOX,AMDOCS LTD,Information Technology,Equity,"44,22,493.20",0.01,"44,22,493.20","78,413.00",56.4,United States,NASDAQ
CROX,CROCS INC,Consumer Discretionary,Equity,"44,07,500.82",0.01,"44,07,500.82","35,342.00",124.71,United States,NASDAQ
VFC,VF CORP,Consumer Discretionary,Equity,"43,79,482.80",0.01,"43,79,482.80","2,48,270.00",17.64,United States,NYSE
ALGM,ALLEGRO MICROSYSTEMS INC,Information Technology,Equity,"43,60,284.53",0.01,"43,60,284.53","86,505.00",50.41,United States,NASDAQ
AVTR,AVANTOR INC,Health Care,Equity,"43,37,269.17",0.01,"43,37,269.17","4,61,903.00",9.39,United States,NYSE
PRMB,PRIMO BRANDS CLASS A CORP,Consumer Staples,Equity,"43,38,644.10",0.01,"43,38,644.10","1,79,654.00",24.15,United States,NYSE
MSGS,MADISON SQUARE GARDEN SPORTS CORP,Communication,Equity,"43,26,880.64",0.01,"43,26,880.64","11,248.00",384.68,United States,NYSE
LW,LAMB WESTON HOLDINGS INC,Consumer Staples,Equity,"43,27,300.66",0.01,"43,27,300.66","95,357.00",45.38,United States,NYSE
SARO,STANDARDAERO,Industrials,Equity,"43,25,486.49",0.01,"43,25,486.49","1,60,739.00",26.91,United States,NYSE
MSA,MSA SAFETY INC,Industrials,Equity,"42,57,391.03",0.01,"42,57,391.03","26,627.00",159.89,United States,NYSE
CZR,CAESARS ENTERTAINMENT INC,Consumer Discretionary,Equity,"42,40,927.41",0.01,"42,40,927.41","1,43,809.00",29.49,United States,NASDAQ
WH,WYNDHAM HOTELS RESORTS INC,Consumer Discretionary,Equity,"42,21,722.03",0.01,"42,21,722.03","53,177.00",79.39,United States,NYSE
GNTX,GENTEX CORP,Consumer Discretionary,Equity,"42,24,903.36",0.01,"42,24,903.36","1,63,376.00",25.86,United States,NASDAQ
CHE,CHEMED CORP,Health Care,Equity,"41,83,036.56",0.01,"41,83,036.56","9,976.00",419.31,United States,NYSE
OWL,BLUE OWL CAPITAL INC CLASS A,Financials,Equity,"41,31,724.08",0.01,"41,31,724.08","4,26,831.00",9.68,United States,NYSE
VSNT,VERSANT MEDIA GROUP INC,Communication,Equity,"41,05,202.64",0.01,"41,05,202.64","1,01,288.00",40.53,United States,NASDAQ
TFX,TELEFLEX INC,Health Care,Equity,"40,78,935.28",0.01,"40,78,935.28","31,261.00",130.48,United States,NYSE
OZK,BANK OZK,Financials,Equity,"40,80,159.40",0.01,"40,80,159.40","78,314.00",52.1,United States,NASDAQ
CE,CELANESE CORP,Materials,Equity,"40,75,817.76",0.01,"40,75,817.76","76,212.00",53.48,United States,NYSE
