Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Avenue Supermarts DMart","https://scanx.trade/company/dmart-avenue-supermarts-ltd","4,117.00","-0.49%","4,145.00","2,07,036","2,67,906.80","90.83","13.90","4,949.50","3,529.00","-10.29%","6.48%","0.10%","21.26%","35.69%","11.03","-","13.56%","16.93%","40.74","4,246.01","4,153.45","34.63","76.00%","87.50%"
"Hindustan Zinc","https://scanx.trade/company/hindustan-zinc-ltd","632.25","0.67%","631.80","38,70,439","2,67,145.79","19.19","13.82","733.00","413.50","7.43%","7.28%","43.03%","105.04%","83.50%","11.73","3.34%","51.06%","62.89%","19.26","582.02","539.05","55.90","58.00%","83.10%"
"Tata Steel","https://scanx.trade/company/tata-steel-ltd","209.19","0.29%","209.60","2,20,23,114","2,61,142.90","23.92","21.18","224.40","149.80","-1.33%","0.40%","29.42%","99.89%","87.93%","2.59","1.92%","-5.31%","8.15%","1.60","204.57","183.94","47.97","76.00%","88.33%"
"Asian Paints","https://scanx.trade/company/asian-paints-ltd","2,639.80","1.58%","2,606.10","15,56,434","2,53,209.03","63.75","37.65","2,985.70","2,115.00","3.78%","8.72%","14.16%","-14.42%","-6.80%","12.73","0.95%","28.61%","23.98%","52.96","2,391.11","2,534.61","65.34","78.00%","90.33%"
"Hindalco Industries","https://scanx.trade/company/hindalco-industries-ltd","1,109.20","0.90%","1,099.00","41,36,312","2,49,262.37","15.36","87.97","1,110.90","618.00","8.57%","18.54%","67.30%","172.70%","184.56%","1.83","0.45%","9.57%","12.85%","48.78","993.48","866.28","64.11","76.00%","87.89%"
"Eternal","https://scanx.trade/company/zomato-ltd","241.95","-0.04%","243.18","2,35,37,777","2,33,490.23","637.11","35.52","368.45","212.60","-6.76%","-10.21%","5.21%","275.12%","92.02%","7.53","-","1.72%","2.63%","0.68","241.78","287.28","45.74","72.84%","84.74%"
"Adani Green Energy","https://scanx.trade/company/adani-green-energy-ltd","1,362.30","0.30%","1,364.00","16,81,359","2,24,394.81","112.70","40.56","1,471.00","765.00","18.46%","40.70%","36.71%","51.88%","4.86%","11.21","-","7.22%","8.15%","8.71","1,104.21","1,020.10","64.37","68.03%","80.00%"
"Shriram Finance","https://scanx.trade/company/shriram-transport-finance-company-ltd","941.00","2.87%","916.25","54,14,742","2,21,387.79","21.48","42.91","1,108.00","566.50","-9.98%","-11.17%","43.01%","251.30%","218.17%","2.04","0.94%","14.88%","10.65%","201.17","971.80","853.67","45.73","75.03%","84.99%"
"Grasim Industries","https://scanx.trade/company/grasim-industries-ltd","3,155.30","0.03%","3,178.00","9,06,466","2,14,725.84","20.84","98.41","3,180.00","2,502.50","13.59%","11.38%","16.57%","84.60%","130.92%","2.07","0.32%","7.14%","5.94%","85.43","2,770.19","2,797.74","77.19","78.00%","90.56%"
"Wipro","https://scanx.trade/company/wipro-ltd","203.11","1.69%","200.00","4,00,14,399","2,13,024.30","15.81","25.39","273.10","186.50","-0.93%","-3.22%","-19.05%","5.18%","-20.77%","2.38","5.50%","14.88%","19.06%","21.37","197.79","232.57","58.90","76.00%","89.82%"
"Indian Oil Corporation","https://scanx.trade/company/indian-oil-corporation-ltd","139.47","-0.75%","140.53","1,20,77,225","1,96,948.91","4.54","9.14","188.96","130.22","-5.32%","-19.75%","-2.73%","62.08%","100.59%","0.90","0.89%","22.94%","9.53%","21.83","143.50","154.86","46.63","76.00%","87.50%"
"Eicher Motors","https://scanx.trade/company/eicher-motors-ltd","6,981.50","1.30%","6,925.00","5,12,596","1,91,512.46","35.33","40.49","8,230.00","5,219.50","-3.58%","-12.03%","29.07%","95.51%","176.79%","8.57","1.01%","22.17%","26.14%","152.70","7,039.18","6,987.39","45.83","78.00%","89.14%"
"SBI Life Insurance","https://scanx.trade/company/sbi-life-insurance-ltd","1,870.70","0.58%","1,872.00","9,34,443","1,87,634.35","75.53","42.91","2,132.00","1,720.00","-2.14%","-10.06%","6.05%","62.08%","93.00%","9.78","0.15%","12.70%","0.56%","20.29","1,874.18","1,925.53","50.89","78.00%","91.00%"
"Divis Laboratories","https://scanx.trade/company/divis-laboratories-ltd","6,887.00","0.42%","6,858.00","3,54,149","1,82,828.21","73.47","31.53","7,071.50","5,636.50","9.56%","9.47%","5.11%","122.28%","68.80%","11.82","0.44%","11.79%","18.85%","63.06","6,341.50","6,303.50","66.48","76.00%","87.50%"
"Varun Beverages","https://scanx.trade/company/varun-beverages-ltd","539.45","3.77%","532.00","1,85,10,994","1,82,447.08","54.83","36.17","534.70","381.00","11.20%","18.86%","12.58%","69.90%","511.97%","8.99","0.29%","29.67%","19.45%","18.65","458.44","469.47","72.03","75.00%","87.24%"
"Interglobe Aviation","https://scanx.trade/company/indigo-interglobe-aviation-ltd","4,438.60","0.81%","4,425.10","6,75,234","1,71,602.05","53.01","10.36","6,232.50","3,895.20","-5.42%","-8.57%","-18.73%","95.81%","162.25%","19.71","0.23%","409.35%","15.53%","202.26","4,352.45","5,144.19","53.15","76.00%","80.00%"
